Employees by rezidence from Active Population 2019 (%),Living space per person 2020 (sqm),Voters present at the polls for the referendum 2018 (%),Locality with public airports (dummy),Primary education (4 grades) 2011 (%),Elderly (65+) 2020 (%),Relative poverty 2016 (%),Neoprotestants from Population 2011 (%),Migration experience,Maximum Covid 19 Incidence Rate 3rd Wave,Core city,Peri-urban City,Peri-urban Village,Size 100T+,School enrollment to young population 2019 (%),Vaccination Rate 05.10.2021,siruta,Vaccination Rate 26.05.2021
0.047619048,13.88150355,0.324212536,0,0.337975051,0.135915654,0.39943074,0.0043,70.75691388,0.9,0,0,1,0,0.4482090999999999,9.1,71698.0,5.9
0.0412991179999999,20.16960715,0.2055137839999999,0,0.2032138439999999,0.25194072,0.22,0.0022,47.63361406,0.92,0,0,0,0,0.659468439,13.75,71634.0,9.49
0.054320988,33.22503516,0.277822258,0,0.2924791089999999,0.293248945,0.260752688,0.0082,34.96967138,7.46,0,0,1,0,0.684491979,14.31,71812.0,8.84
0.134146341,24.71255061,0.290514526,0,0.351162139,0.2949237,0.40028777,0.0084,33.62220099,4.51,0,0,0,0,0.606557377,12.5,103899.0,9.52
0.036904762,19.4461316,0.4625323,0,0.2004421519999999,0.240780911,0.6907366890000001,0.002,17.57516428,2.89,0,0,0,0,0.497409326,13.37,74891.0,8.6
0.062751408,26.11568799,0.149870801,0,0.2483686789999999,0.293163891,0.359751037,0.0015,29.67181331,1.73,0,0,1,0,0.695522388,20.03,72221.0,12.9
0.055059524,20.31327986,0.219083156,0,0.293257897,0.22771836,0.620111732,0.0037,38.6766995,1.34,0,0,1,0,0.7138728320000001,18.9,129095.0,12.57
0.044665012,21.34406953,0.261988304,0,0.240338804,0.241308793,0.250120482,0.0024,33.79775108,0.0,0,0,0,0,0.6729323309999999,13.99,70726.0,8.17
0.043933898,22.76372925,0.309303021,0,0.230079156,0.208173691,0.370243064,0.0019,30.33152822,4.25,0,0,1,0,0.670840787,13.36,72383.0,7.05
0.036350148,24.62725658,0.230282293,0,0.306900434,0.26043208,0.349915445,0.0101,52.33852106,0.15,0,0,1,0,0.604938272,21.76,73335.0,12.12
0.10619469,21.84194978,0.3430185629999999,0,0.309775429,0.301329394,0.230106101,0.006,19.95885347,3.75,0,0,0,0,0.739130435,16.36,127536.0,12.75
0.147607461,19.46939715,0.380384017,0,0.315062581,0.297745053,0.5509138379999999,0.0126,37.52007244,6.41,0,0,0,0,0.6939501779999999,14.11,103470.0,11.81
0.4314688779999999,17.72681898,0.227037063,0,0.096896793,0.186874239,0.08,0.0045,52.060037,3.73,1,0,0,0,1.557704176,33.26,125472.0,27.25
0.1681231789999999,14.53207643,0.237826836,0,0.213709013,0.194483108,0.130065033,0.0038,57.9591252,3.01,1,0,0,0,0.947063089,22.24,70502.0,17.36
0.0590423059999999,13.86372803,0.364447495,0,0.249246534,0.207144915,0.199725652,0.0013,34.40724044,0.86,0,0,1,0,0.577540107,11.9,126585.0,8.48
0.1134235169999999,17.81578947,0.273521505,0,0.347501436,0.301435407,0.300221976,0.0,40.82549241,0.61,0,0,0,0,0.5103092779999999,22.45,101724.0,14.39
0.05711775,16.91316527,0.196840026,0,0.2455711669999999,0.213445378,0.589800443,0.0011,32.98942152,14.89,0,0,1,0,0.606694561,20.42,125490.0,13.07
0.076462766,23.70534135,0.341167254,0,0.314341211,0.338167669,0.169852711,0.0018,30.83220768,0.36,0,0,0,0,0.660167131,17.27,128472.0,12.92
0.108289768,21.22652885,0.5047169810000001,0,0.257408226,0.23126615,0.4305727239999999,0.0143,40.12717163,3.42,0,0,0,0,0.636792453,13.3,104118.0,6.63
0.037015276,12.05531763,0.22406639,0,0.272118959,0.228765168,0.479877217,0.0,33.50451377,3.22,0,0,0,0,0.702179177,9.69,152038.0,6.49
0.229924502,15.2064362,0.191181364,0,0.3052599569999999,0.237071388,0.350170184,0.0192,63.16255135,2.98,0,0,1,0,0.636363636,25.06,101804.0,16.42
0.047890898,21.21349388,0.917597765,0,0.314328105,0.2157874619999999,0.6101601329999999,0.0048,37.7242581,0.19,0,0,0,0,0.647256439,17.27,71787.0,9.91
